Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts
D,191.0,Joachim Andersen,4.5,4.5,Crystal Palace,92,2.6522815586916866,89,3.19555588761803,87,1.7447794581257652,87,3.574183456946008,87,2.883864618547886,86,2.66341544617562,0,0,0,0,0,0,0,0,0,0,0,0
D,236.0,James Tarkowski,4.5,4.5,Everton,89,3.0817754733861165,88,1.9841063055101351,86,3.0717530602719822,85,2.228075260809911,84,3.21602051980048,82,3.0959229926604044,0,0,0,0,0,0,0,0,0,0,0,0
D,120.0,Lewis Dunk,4.5,4.5,Brighton,91,2.8894721506912537,89,3.185933526527708,88,1.4426506579083451,86,4.052834553429056,84,3.150239078285192,84,1.887022513713108,0,0,0,0,0,0,0,0,0,0,0,0
M,205.0,Daichi Kamada,5.5,5.5,Crystal Palace,62,2.722858506375226,60,2.982043749117779,60,2.439961509501376,59,3.0235301349612485,60,2.865233941372069,58,2.545679650491411,0,0,0,0,0,0,0,0,0,0,0,0
F,512.0,Michail Antonio,6.0,6.0,West Ham,68,3.1907213363420235,65,2.720542587429995,65,2.2760423666909904,63,2.8026014865880224,62,2.780356263165776,63,2.767393122704742,0,0,0,0,0,0,0,0,0,0,0,0
M,63.0,Ryan Christie,5.0,5.0,Bournemouth,77,2.8249629570470045,75,2.863127331049589,72,2.727731080301928,71,2.675208953807177,71,2.313914785706677,68,3.108683833721814,0,0,0,0,0,0,0,0,0,0,0,0
M,71.0,Justin Kluivert,6.0,6.0,Bournemouth,66,2.7652924701753707,64,2.924786330256544,64,2.716231809262868,60,2.675832467479462,55,2.0069301593932587,57,3.151781483488989,0,0,0,0,0,0,0,0,0,0,0,0
D,498.0,Cristian Romero,5.0,5.0,Spurs,91,3.4352637110419875,88,3.40576256463301,84,1.936412007358783,84,1.7408009071791248,82,3.182540311681728,82,2.516700264312572,0,0,0,0,0,0,0,0,0,0,0,0
M,309.0,Harry Winks,4.5,4.5,Leicester,90,2.7653405732285514,86,2.812495732751998,84,2.7183609789451464,83,2.6533730632574537,83,2.860681163703114,82,2.286940302159537,0,0,0,0,0,0,0,0,0,0,0,0
M,216.0,Adam Wharton,5.0,5.0,Crystal Palace,82,2.747113259546886,76,2.855317999519957,76,2.368231930913552,74,2.894834266381093,75,2.718668068294911,71,2.478973436408089,0,0,0,0,0,0,0,0,0,0,0,0
D,231.0,Vitaliy Mykolenko,4.5,4.5,Everton,88,3.0089265715706106,86,1.982807928410072,84,2.933512974229499,82,2.178357638342433,81,3.0240284953902954,79,2.917454316520628,0,0,0,0,0,0,0,0,0,0,0,0
M,64.0,Lewis Cook,5.0,5.0,Bournemouth,87,2.785814148852424,85,2.7212524506234943,81,2.7033822071921723,81,2.5784355995317503,79,2.2909645370092027,77,2.9369838707104226,0,0,0,0,0,0,0,0,0,0,0,0
D,341.0,Nathan Aké,6.0,6.0,Man City,52,2.16361622755768,51,3.403890844958439,52,2.694118259832965,54,3.168053374312993,51,2.172816530670868,54,2.302350262589397,0,0,0,0,0,0,0,0,0,0,0,0
M,317.0,Diogo Jota,7.5,7.5,Liverpool,45,2.491894227904813,46,2.648626196550026,48,2.7139376388772014,48,2.980458768913381,47,2.671551240581785,46,2.3938832528192715,0,0,0,0,0,0,0,0,0,0,0,0
D,340.0,Manuel Akanji,6.0,6.0,Man City,54,2.13783527050451,55,3.506355252901687,54,2.676344555518798,53,2.973209737513849,55,2.2663591462230257,55,2.227907825911683,0,0,0,0,0,0,0,0,0,0,0,0
M,57.0,Youri Tielemans,5.5,5.5,Aston Villa,65,2.8635164466955185,61,2.003655142035635,62,2.731440739243192,58,2.6631182698852744,57,2.797588209972512,57,2.6915667659379547,0,0,0,0,0,0,0,0,0,0,0,0
D,200.0,Marc Guéhi,4.5,4.5,Crystal Palace,91,2.510945389096485,89,3.006861572240969,86,1.67701258955628,85,3.3220305304897018,85,2.689214133544261,85,2.5155053622706824,0,0,0,0,0,0,0,0,0,0,0,0
D,425.0,Willy Boly,4.5,4.5,Nott'm Forest,85,2.962903395849087,81,3.026729154656416,77,3.197544951875863,75,1.3566351098606808,75,2.2732671288854616,73,2.8984393521012546,0,0,0,0,0,0,0,0,0,0,0,0
D,44.0,Ezri Konsa,5.0,5.0,Aston Villa,90,2.447881462557709,88,1.5580347742553138,87,2.8355800691818955,86,2.830170105284051,84,3.011291694498731,83,2.9860243763485275,0,0,0,0,0,0,0,0,0,0,0,0
M,336.0,Dominik Szoboszlai,6.0,6.0,Liverpool,52,2.804735844022197,51,2.7774503336193432,49,2.363177782269183,52,2.75965097022331,49,2.574189645403116,48,2.3628354044905184,0,0,0,0,0,0,0,0,0,0,0,0
D,436.0,Murillo,4.5,4.5,Nott'm Forest,90,2.8852025791939493,88,3.008290921092234,85,3.215409796067932,83,1.2919586590027103,82,2.2596100418687235,83,2.9763622560131933,0,0,0,0,0,0,0,0,0,0,0,0
M,101.0,Christian Nørgaard,5.0,5.0,Brentford,77,2.8923243421550158,75,2.294757195493526,72,3.084468089564252,71,2.066859000036083,70,2.38750431213294,69,2.8623173569520195,0,0,0,0,0,0,0,0,0,0,0,0
M,570.0,Abdul Fatawu Issahaku,6.0,6.0,Leicester,72,2.875753668725211,69,2.6766686508774,67,2.800143992819033,67,2.496748213319224,67,2.82592868817572,65,1.8857919923787176,0,0,0,0,0,0,0,0,0,0,0,0
